================================================================================
SEASON 1 - RIDER POSITION REPORT
Each rider's current position in the seasonal standings
================================================================================

Total Riders in Season 1 Standings: 2207

--------------------------------------------------------------------------------------------------------------
Position  Rider Name                    Team                ARR   Events  Points  Type
2184th    Cristian Contreras            Nitro               1110  1       0       Bot
2185th    Heriberto Harrell             Douvan              1104  1       0       Bot
2186th    Marek Konopka                 Independent         1124  1       0       Bot
2187th    Tobias Abrahamsson            AI Thunder          986   1       0       Bot
2188th    Arturo Lugo                   Independent         1173  1       0       Bot
2189th    Clair Davila                  Independent         1020  1       0       Bot
2190th    Bojidar Osman                 Independent         1190  1       0       Bot
2191st    Katerina Moskovits            Independent         948   1       0       Bot
2192nd    Otso Vainio                   Meisterkuhl         1111  1       0       Bot
2193rd    Nelson Lucas                  HCOM                1038  1       0       Bot
2194th    Ty Schultz                    Independent         869   1       0       Bot
2195th    Antti Hänninen                Windsail            888   1       0       Bot
2196th    Dorottya Gulyás               Ampex               970   1       0       Bot
2197th    Hiram Cain                    Independent         1061  1       0       Bot
2198th    Felipe Manzano                Independent         927   1       0       Bot
2199th    Viktor Axelsson               Independent         927   1       0       Bot
2200th    Trude Isaksen                 Independent         958   1       0       Bot
2201st    Tommy Strand                  Ampex               906   1       0       Bot
2202nd    Niels De Bruin                Independent         908   1       0       Bot
2203rd    Jérémy Boyer                  Independent         957   1       0       Bot
2204th    Maryse Champagne              Hector              752   1       0       Bot
2205th    Adriana Rios                  Krowen              486   1       0       Bot
2206th    Edwin Dekker                  Systech             431   1       0       Bot
2207th    Anton Baumann                 Heat                714   2       0       Bot
--------------------------------------------------------------------------------------------------------------

================================================================================
SUMMARY BY TYPE
================================================================================

Human Riders (56):
--------------------------------------------------------------------------------------------------------------
  1st     Julien Helleputte             498 points     7 events    Riders Givrés du Trainer
  2nd     Gregory Frison                395 points     4 events    Mashup Collective
  11th    Ryan Yates                    283 points     3 events    Allkin Racing
  12th    Rob Miller                    277 points     4 events    Race3R
  34th    Jamie Bishop                  211 points     4 events    Newhall.cc
